Well,GFP,Strain,Plant,Leaf,Date,Unique_plant_ID
A1,577436,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A2,596205,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A3,446297,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A4,516985,WT,1,Top,2022_05_30,Plant_1_2022_05_30
A5,313663,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A6,341408,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A7,405527,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A8,304304,WT,1,Bottom,2022_05_30,Plant_1_2022_05_30
A9,219128,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A10,296402,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A11,314114,WT,2,Top,2022_05_30,Plant_2_2022_05_30
A12,275208,WT,2,Top,2022_05_30,Plant_2_2022_05_30
B1,194209,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B2,317213,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B3,303460,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B4,331432,WT,2,Bottom,2022_05_30,Plant_2_2022_05_30
B5,621106,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B6,535491,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B7,689828,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B8,563642,WT,3,Top,2022_05_30,Plant_3_2022_05_30
B9,265515,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B10,200112,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B11,302840,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
B12,294253,WT,3,Bottom,2022_05_30,Plant_3_2022_05_30
C1,276477,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C2,328927,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C3,369825,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C4,237105,WT,4,Top,2022_05_30,Plant_4_2022_05_30
C5,103009,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C6,143617,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C7,327748,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C8,213676,WT,4,Bottom,2022_05_30,Plant_4_2022_05_30
C9,459717,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C10,431668,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C11,338922,WT,5,Top,2022_05_30,Plant_5_2022_05_30
C12,344606,WT,5,Top,2022_05_30,Plant_5_2022_05_30
D1,319466,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D2,459202,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D3,396293,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D4,516086,WT,5,Bottom,2022_05_30,Plant_5_2022_05_30
D5,640362,WT,6,Top,2022_05_30,Plant_6_2022_05_30
D6,753287,WT,6,Top,2022_05_30,Plant_6_2022_05_30
D7,546045,WT,6,Top,2022_05_30,Plant_6_2022_05_30
D8,557913,WT,6,Top,2022_05_30,Plant_6_2022_05_30
D9,407279,WT,6,Bottom,2022_05_30,Plant_6_2022_05_30
D10,550843,WT,6,Bottom,2022_05_30,Plant_6_2022_05_30
D11,425436,WT,6,Bottom,2022_05_30,Plant_6_2022_05_30
D12,349461,WT,6,Bottom,2022_05_30,Plant_6_2022_05_30
E1,545718,WT,7,Top,2022_05_30,Plant_7_2022_05_30
E2,699713,WT,7,Top,2022_05_30,Plant_7_2022_05_30
E3,583924,WT,7,Top,2022_05_30,Plant_7_2022_05_30
E4,518827,WT,7,Top,2022_05_30,Plant_7_2022_05_30
E5,390448,WT,7,Bottom,2022_05_30,Plant_7_2022_05_30
E6,354982,WT,7,Bottom,2022_05_30,Plant_7_2022_05_30
E7,375244,WT,7,Bottom,2022_05_30,Plant_7_2022_05_30
E8,447308,WT,7,Bottom,2022_05_30,Plant_7_2022_05_30
E9,398152,WT,8,Top,2022_05_30,Plant_8_2022_05_30
E10,555381,WT,8,Top,2022_05_30,Plant_8_2022_05_30
E11,536163,WT,8,Top,2022_05_30,Plant_8_2022_05_30
E12,302551,WT,8,Top,2022_05_30,Plant_8_2022_05_30
F1,424947,WT,8,Bottom,2022_05_30,Plant_8_2022_05_30
F2,403985,WT,8,Bottom,2022_05_30,Plant_8_2022_05_30
F3,387932,WT,8,Bottom,2022_05_30,Plant_8_2022_05_30
F4,488453,WT,8,Bottom,2022_05_30,Plant_8_2022_05_30
A1,442081,WT,1,Top,2022_08_08,Plant_1_2022_08_08
A2,534247,WT,1,Top,2022_08_08,Plant_1_2022_08_08
A3,369060,WT,1,Top,2022_08_08,Plant_1_2022_08_08
A4,455186,WT,1,Top,2022_08_08,Plant_1_2022_08_08
A5,68986,WT,1,Bottom,2022_08_08,Plant_1_2022_08_08
A6,86914,WT,1,Bottom,2022_08_08,Plant_1_2022_08_08
A7,163302,WT,1,Bottom,2022_08_08,Plant_1_2022_08_08
A8,228049,WT,1,Bottom,2022_08_08,Plant_1_2022_08_08
A9,182469,WT,2,Top,2022_08_08,Plant_2_2022_08_08
A10,376875,WT,2,Top,2022_08_08,Plant_2_2022_08_08
A11,88236,WT,2,Top,2022_08_08,Plant_2_2022_08_08
A12,581379,WT,2,Top,2022_08_08,Plant_2_2022_08_08
B1,213395,WT,2,Bottom,2022_08_08,Plant_2_2022_08_08
B2,331123,WT,2,Bottom,2022_08_08,Plant_2_2022_08_08
B3,445593,WT,2,Bottom,2022_08_08,Plant_2_2022_08_08
B4,106610,WT,2,Bottom,2022_08_08,Plant_2_2022_08_08
B5,416380,WT,3,Top,2022_08_08,Plant_3_2022_08_08
B6,387344,WT,3,Top,2022_08_08,Plant_3_2022_08_08
B7,498554,WT,3,Top,2022_08_08,Plant_3_2022_08_08
B8,281822,WT,3,Top,2022_08_08,Plant_3_2022_08_08
B9,265281,WT,3,Bottom,2022_08_08,Plant_3_2022_08_08
B10,346763,WT,3,Bottom,2022_08_08,Plant_3_2022_08_08
B11,395493,WT,3,Bottom,2022_08_08,Plant_3_2022_08_08
B12,508631,WT,3,Bottom,2022_08_08,Plant_3_2022_08_08
C1,414963,WT,4,Top,2022_08_08,Plant_4_2022_08_08
C2,539342,WT,4,Top,2022_08_08,Plant_4_2022_08_08
C3,563657,WT,4,Top,2022_08_08,Plant_4_2022_08_08
C4,528137,WT,4,Top,2022_08_08,Plant_4_2022_08_08
C5,340181,WT,4,Bottom,2022_08_08,Plant_4_2022_08_08
C6,294997,WT,4,Bottom,2022_08_08,Plant_4_2022_08_08
C7,121332,WT,4,Bottom,2022_08_08,Plant_4_2022_08_08
C8,281007,WT,4,Bottom,2022_08_08,Plant_4_2022_08_08
C9,80538,WT,5,Top,2022_08_08,Plant_5_2022_08_08
C10,254319,WT,5,Top,2022_08_08,Plant_5_2022_08_08
C11,612151,WT,5,Top,2022_08_08,Plant_5_2022_08_08
C12,339715,WT,5,Top,2022_08_08,Plant_5_2022_08_08
D1,375677,WT,5,Bottom,2022_08_08,Plant_5_2022_08_08
D2,368534,WT,5,Bottom,2022_08_08,Plant_5_2022_08_08
D3,244926,WT,5,Bottom,2022_08_08,Plant_5_2022_08_08
D4,157530,WT,5,Bottom,2022_08_08,Plant_5_2022_08_08
D5,279825,WT,6,Top,2022_08_08,Plant_6_2022_08_08
D6,320838,WT,6,Top,2022_08_08,Plant_6_2022_08_08
D7,271829,WT,6,Top,2022_08_08,Plant_6_2022_08_08
D8,280878,WT,6,Top,2022_08_08,Plant_6_2022_08_08
D9,379625,WT,6,Bottom,2022_08_08,Plant_6_2022_08_08
D10,423557,WT,6,Bottom,2022_08_08,Plant_6_2022_08_08
D11,254351,WT,6,Bottom,2022_08_08,Plant_6_2022_08_08
D12,346098,WT,6,Bottom,2022_08_08,Plant_6_2022_08_08
E1,166379,WT,7,Top,2022_08_08,Plant_7_2022_08_08
E2,401787,WT,7,Top,2022_08_08,Plant_7_2022_08_08
E3,549537,WT,7,Top,2022_08_08,Plant_7_2022_08_08
E4,366669,WT,7,Top,2022_08_08,Plant_7_2022_08_08
E5,88122,WT,7,Bottom,2022_08_08,Plant_7_2022_08_08
E6,279649,WT,7,Bottom,2022_08_08,Plant_7_2022_08_08
E7,23264,WT,7,Bottom,2022_08_08,Plant_7_2022_08_08
E8,255828,WT,7,Bottom,2022_08_08,Plant_7_2022_08_08
E9,426722,WT,8,Top,2022_08_08,Plant_8_2022_08_08
E10,421724,WT,8,Top,2022_08_08,Plant_8_2022_08_08
E11,393934,WT,8,Top,2022_08_08,Plant_8_2022_08_08
E12,404106,WT,8,Top,2022_08_08,Plant_8_2022_08_08
F1,111827,WT,8,Bottom,2022_08_08,Plant_8_2022_08_08
F2,134764,WT,8,Bottom,2022_08_08,Plant_8_2022_08_08
F3,372791,WT,8,Bottom,2022_08_08,Plant_8_2022_08_08
F4,231875,WT,8,Bottom,2022_08_08,Plant_8_2022_08_08
A1,651387,WT,1,Top,2022_06_06,Plant_1_2022_06_06
A2,1121389,WT,1,Top,2022_06_06,Plant_1_2022_06_06
A3,688325,WT,1,Top,2022_06_06,Plant_1_2022_06_06
A4,673891,WT,1,Top,2022_06_06,Plant_1_2022_06_06
A5,294197,WT,1,Bottom,2022_06_06,Plant_1_2022_06_06
A6,412545,WT,1,Bottom,2022_06_06,Plant_1_2022_06_06
A7,414522,WT,1,Bottom,2022_06_06,Plant_1_2022_06_06
A8,475514,WT,1,Bottom,2022_06_06,Plant_1_2022_06_06
A9,517889,WT,2,Top,2022_06_06,Plant_2_2022_06_06
A10,381892,WT,2,Top,2022_06_06,Plant_2_2022_06_06
A11,565949,WT,2,Top,2022_06_06,Plant_2_2022_06_06
A12,579217,WT,2,Top,2022_06_06,Plant_2_2022_06_06
B1,208113,WT,2,Bottom,2022_06_06,Plant_2_2022_06_06
B2,138084,WT,2,Bottom,2022_06_06,Plant_2_2022_06_06
B3,295204,WT,2,Bottom,2022_06_06,Plant_2_2022_06_06
B4,181693,WT,2,Bottom,2022_06_06,Plant_2_2022_06_06
B5,553133,WT,3,Top,2022_06_06,Plant_3_2022_06_06
B6,479524,WT,3,Top,2022_06_06,Plant_3_2022_06_06
B7,478585,WT,3,Top,2022_06_06,Plant_3_2022_06_06
B8,456231,WT,3,Top,2022_06_06,Plant_3_2022_06_06
B9,388909,WT,3,Bottom,2022_06_06,Plant_3_2022_06_06
B10,345044,WT,3,Bottom,2022_06_06,Plant_3_2022_06_06
B11,312218,WT,3,Bottom,2022_06_06,Plant_3_2022_06_06
B12,330591,WT,3,Bottom,2022_06_06,Plant_3_2022_06_06
C1,488651,WT,4,Top,2022_06_06,Plant_4_2022_06_06
C2,485382,WT,4,Top,2022_06_06,Plant_4_2022_06_06
C3,448550,WT,4,Top,2022_06_06,Plant_4_2022_06_06
C4,458536,WT,4,Top,2022_06_06,Plant_4_2022_06_06
C5,106777,WT,4,Bottom,2022_06_06,Plant_4_2022_06_06
C6,197873,WT,4,Bottom,2022_06_06,Plant_4_2022_06_06
C7,334474,WT,4,Bottom,2022_06_06,Plant_4_2022_06_06
C8,244748,WT,4,Bottom,2022_06_06,Plant_4_2022_06_06
C9,334640,WT,5,Top,2022_06_06,Plant_5_2022_06_06
C10,393255,WT,5,Top,2022_06_06,Plant_5_2022_06_06
C11,377224,WT,5,Top,2022_06_06,Plant_5_2022_06_06
C12,342323,WT,5,Top,2022_06_06,Plant_5_2022_06_06
D1,65671,WT,5,Bottom,2022_06_06,Plant_5_2022_06_06
D2,166742,WT,5,Bottom,2022_06_06,Plant_5_2022_06_06
D3,158807,WT,5,Bottom,2022_06_06,Plant_5_2022_06_06
D4,86517,WT,5,Bottom,2022_06_06,Plant_5_2022_06_06
F5,799,Leaf,1,Top,2022_06_06,Plant_1_2022_06_06
F6,696,Leaf,1,Top,2022_06_06,Plant_1_2022_06_06
F7,700,Leaf,1,Top,2022_06_06,Plant_1_2022_06_06
F8,752,Leaf,1,Top,2022_06_06,Plant_1_2022_06_06
F9,702,Leaf,1,Bottom,2022_06_06,Plant_1_2022_06_06
F10,729,Leaf,1,Bottom,2022_06_06,Plant_1_2022_06_06
F11,680,Leaf,1,Bottom,2022_06_06,Plant_1_2022_06_06
F12,679,Leaf,1,Bottom,2022_06_06,Plant_1_2022_06_06
G1,628,Leaf,2,Top,2022_06_06,Plant_2_2022_06_06
G2,548,Leaf,2,Top,2022_06_06,Plant_2_2022_06_06
G3,574,Leaf,2,Top,2022_06_06,Plant_2_2022_06_06
G4,576,Leaf,2,Top,2022_06_06,Plant_2_2022_06_06
G5,579,Leaf,2,Bottom,2022_06_06,Plant_2_2022_06_06
G6,609,Leaf,2,Bottom,2022_06_06,Plant_2_2022_06_06
G7,626,Leaf,2,Bottom,2022_06_06,Plant_2_2022_06_06
G8,659,Leaf,2,Bottom,2022_06_06,Plant_2_2022_06_06
G9,671,Leaf,3,Top,2022_06_06,Plant_3_2022_06_06
G10,614,Leaf,3,Top,2022_06_06,Plant_3_2022_06_06
G11,641,Leaf,3,Top,2022_06_06,Plant_3_2022_06_06
G12,642,Leaf,3,Top,2022_06_06,Plant_3_2022_06_06
H1,610,Leaf,3,Bottom,2022_06_06,Plant_3_2022_06_06
H2,637,Leaf,3,Bottom,2022_06_06,Plant_3_2022_06_06
H3,628,Leaf,3,Bottom,2022_06_06,Plant_3_2022_06_06
H4,599,Leaf,3,Bottom,2022_06_06,Plant_3_2022_06_06
H5,554,Leaf,4,Top,2022_06_06,Plant_4_2022_06_06
H6,582,Leaf,4,Top,2022_06_06,Plant_4_2022_06_06
H7,559,Leaf,4,Top,2022_06_06,Plant_4_2022_06_06
H8,595,Leaf,4,Top,2022_06_06,Plant_4_2022_06_06
H9,897,Leaf,4,Bottom,2022_06_06,Plant_4_2022_06_06
H10,834,Leaf,4,Bottom,2022_06_06,Plant_4_2022_06_06
H11,814,Leaf,4,Bottom,2022_06_06,Plant_4_2022_06_06
H12,866,Leaf,4,Bottom,2022_06_06,Plant_4_2022_06_06
A1,376940,WT,1,Top,2022_06_13,Plant_1_2022_06_13
A2,268784,WT,1,Top,2022_06_13,Plant_1_2022_06_13
A3,400582,WT,1,Top,2022_06_13,Plant_1_2022_06_13
A4,307829,WT,1,Top,2022_06_13,Plant_1_2022_06_13
A5,570118,WT,1,Bottom,2022_06_13,Plant_1_2022_06_13
A6,415447,WT,1,Bottom,2022_06_13,Plant_1_2022_06_13
A7,468338,WT,1,Bottom,2022_06_13,Plant_1_2022_06_13
A8,421321,WT,1,Bottom,2022_06_13,Plant_1_2022_06_13
A9,448837,WT,2,Top,2022_06_13,Plant_2_2022_06_13
A10,449269,WT,2,Top,2022_06_13,Plant_2_2022_06_13
A11,467783,WT,2,Top,2022_06_13,Plant_2_2022_06_13
A12,487377,WT,2,Top,2022_06_13,Plant_2_2022_06_13
B1,182113,WT,2,Bottom,2022_06_13,Plant_2_2022_06_13
B2,288587,WT,2,Bottom,2022_06_13,Plant_2_2022_06_13
B3,197957,WT,2,Bottom,2022_06_13,Plant_2_2022_06_13
B4,131386,WT,2,Bottom,2022_06_13,Plant_2_2022_06_13
B5,489152,WT,3,Top,2022_06_13,Plant_3_2022_06_13
B6,453507,WT,3,Top,2022_06_13,Plant_3_2022_06_13
B7,491032,WT,3,Top,2022_06_13,Plant_3_2022_06_13
B8,281714,WT,3,Top,2022_06_13,Plant_3_2022_06_13
B9,512635,WT,3,Bottom,2022_06_13,Plant_3_2022_06_13
B10,508276,WT,3,Bottom,2022_06_13,Plant_3_2022_06_13
B11,607716,WT,3,Bottom,2022_06_13,Plant_3_2022_06_13
B12,637861,WT,3,Bottom,2022_06_13,Plant_3_2022_06_13
C1,474585,WT,4,Top,2022_06_13,Plant_4_2022_06_13
C2,649278,WT,4,Top,2022_06_13,Plant_4_2022_06_13
C3,532503,WT,4,Top,2022_06_13,Plant_4_2022_06_13
C4,697512,WT,4,Top,2022_06_13,Plant_4_2022_06_13
C5,560567,WT,4,Bottom,2022_06_13,Plant_4_2022_06_13
C6,492765,WT,4,Bottom,2022_06_13,Plant_4_2022_06_13
C7,450121,WT,4,Bottom,2022_06_13,Plant_4_2022_06_13
C8,547600,WT,4,Bottom,2022_06_13,Plant_4_2022_06_13
C9,441791,WT,5,Top,2022_06_13,Plant_5_2022_06_13
C10,435009,WT,5,Top,2022_06_13,Plant_5_2022_06_13
C11,401050,WT,5,Top,2022_06_13,Plant_5_2022_06_13
C12,530996,WT,5,Top,2022_06_13,Plant_5_2022_06_13
D1,450948,WT,5,Bottom,2022_06_13,Plant_5_2022_06_13
D2,573818,WT,5,Bottom,2022_06_13,Plant_5_2022_06_13
D3,483950,WT,5,Bottom,2022_06_13,Plant_5_2022_06_13
D4,406313,WT,5,Bottom,2022_06_13,Plant_5_2022_06_13
A1,253239,WT,1,Top,2022_09_19,Plant_1_2022_09_19
A2,198311,WT,1,Top,2022_09_19,Plant_1_2022_09_19
A3,235952,WT,1,Top,2022_09_19,Plant_1_2022_09_19
A4,208438,WT,1,Top,2022_09_19,Plant_1_2022_09_19
A5,370471,WT,1,Bottom,2022_09_19,Plant_1_2022_09_19
A6,437002,WT,1,Bottom,2022_09_19,Plant_1_2022_09_19
A7,324598,WT,1,Bottom,2022_09_19,Plant_1_2022_09_19
A8,377169,WT,1,Bottom,2022_09_19,Plant_1_2022_09_19
A9,580718,WT,2,Top,2022_09_19,Plant_2_2022_09_19
A10,358777,WT,2,Top,2022_09_19,Plant_2_2022_09_19
A11,472118,WT,2,Top,2022_09_19,Plant_2_2022_09_19
A12,584526,WT,2,Top,2022_09_19,Plant_2_2022_09_19
B1,332714,WT,2,Bottom,2022_09_19,Plant_2_2022_09_19
B2,285960,WT,2,Bottom,2022_09_19,Plant_2_2022_09_19
B3,332386,WT,2,Bottom,2022_09_19,Plant_2_2022_09_19
B4,111274,WT,2,Bottom,2022_09_19,Plant_2_2022_09_19
B5,379227,WT,3,Top,2022_09_19,Plant_3_2022_09_19
B6,399128,WT,3,Top,2022_09_19,Plant_3_2022_09_19
B7,407850,WT,3,Top,2022_09_19,Plant_3_2022_09_19
B8,446695,WT,3,Top,2022_09_19,Plant_3_2022_09_19
B9,181948,WT,3,Bottom,2022_09_19,Plant_3_2022_09_19
B10,179427,WT,3,Bottom,2022_09_19,Plant_3_2022_09_19
B11,224034,WT,3,Bottom,2022_09_19,Plant_3_2022_09_19
B12,394933,WT,3,Bottom,2022_09_19,Plant_3_2022_09_19
C1,362440,WT,4,Top,2022_09_19,Plant_4_2022_09_19
C2,283894,WT,4,Top,2022_09_19,Plant_4_2022_09_19
C3,376399,WT,4,Top,2022_09_19,Plant_4_2022_09_19
C4,280052,WT,4,Top,2022_09_19,Plant_4_2022_09_19
C5,296212,WT,4,Bottom,2022_09_19,Plant_4_2022_09_19
C6,252469,WT,4,Bottom,2022_09_19,Plant_4_2022_09_19
C7,266459,WT,4,Bottom,2022_09_19,Plant_4_2022_09_19
C8,187028,WT,4,Bottom,2022_09_19,Plant_4_2022_09_19
C9,316905,WT,5,Top,2022_09_19,Plant_5_2022_09_19
C10,343832,WT,5,Top,2022_09_19,Plant_5_2022_09_19
C11,425072,WT,5,Top,2022_09_19,Plant_5_2022_09_19
C12,352938,WT,5,Top,2022_09_19,Plant_5_2022_09_19
D1,297452,WT,5,Bottom,2022_09_19,Plant_5_2022_09_19
D2,275260,WT,5,Bottom,2022_09_19,Plant_5_2022_09_19
D3,358022,WT,5,Bottom,2022_09_19,Plant_5_2022_09_19
D4,293154,WT,5,Bottom,2022_09_19,Plant_5_2022_09_19
D5,403938,WT,6,Top,2022_09_19,Plant_6_2022_09_19
D6,573762,WT,6,Top,2022_09_19,Plant_6_2022_09_19
D7,406611,WT,6,Top,2022_09_19,Plant_6_2022_09_19
D8,484533,WT,6,Top,2022_09_19,Plant_6_2022_09_19
D9,391378,WT,6,Bottom,2022_09_19,Plant_6_2022_09_19
D10,181187,WT,6,Bottom,2022_09_19,Plant_6_2022_09_19
D11,222899,WT,6,Bottom,2022_09_19,Plant_6_2022_09_19
D12,316740,WT,6,Bottom,2022_09_19,Plant_6_2022_09_19
E1,368690,WT,7,Top,2022_09_19,Plant_7_2022_09_19
E2,396103,WT,7,Top,2022_09_19,Plant_7_2022_09_19
E3,359470,WT,7,Top,2022_09_19,Plant_7_2022_09_19
E4,359939,WT,7,Top,2022_09_19,Plant_7_2022_09_19
E5,253808,WT,7,Bottom,2022_09_19,Plant_7_2022_09_19
E6,291273,WT,7,Bottom,2022_09_19,Plant_7_2022_09_19
E7,256662,WT,7,Bottom,2022_09_19,Plant_7_2022_09_19
E8,254544,WT,7,Bottom,2022_09_19,Plant_7_2022_09_19
E9,251110,WT,8,Top,2022_09_19,Plant_8_2022_09_19
E10,604772,WT,8,Top,2022_09_19,Plant_8_2022_09_19
E11,302920,WT,8,Top,2022_09_19,Plant_8_2022_09_19
E12,384613,WT,8,Top,2022_09_19,Plant_8_2022_09_19
F1,286078,WT,8,Bottom,2022_09_19,Plant_8_2022_09_19
F2,341175,WT,8,Bottom,2022_09_19,Plant_8_2022_09_19
F3,356939,WT,8,Bottom,2022_09_19,Plant_8_2022_09_19
F4,259708,WT,8,Bottom,2022_09_19,Plant_8_2022_09_19
A1,590484,WT,1,Top,2022_09_05,Plant_1_2022_09_05
A2,507461,WT,1,Top,2022_09_05,Plant_1_2022_09_05
A3,632063,WT,1,Top,2022_09_05,Plant_1_2022_09_05
A4,412717,WT,1,Top,2022_09_05,Plant_1_2022_09_05
A5,237246,WT,1,Bottom,2022_09_05,Plant_1_2022_09_05
A6,251805,WT,1,Bottom,2022_09_05,Plant_1_2022_09_05
A7,281050,WT,1,Bottom,2022_09_05,Plant_1_2022_09_05
A8,374315,WT,1,Bottom,2022_09_05,Plant_1_2022_09_05
A9,479970,WT,2,Top,2022_09_05,Plant_2_2022_09_05
A10,392237,WT,2,Top,2022_09_05,Plant_2_2022_09_05
A11,402552,WT,2,Top,2022_09_05,Plant_2_2022_09_05
A12,364444,WT,2,Top,2022_09_05,Plant_2_2022_09_05
B1,293063,WT,2,Bottom,2022_09_05,Plant_2_2022_09_05
B2,315931,WT,2,Bottom,2022_09_05,Plant_2_2022_09_05
B3,293703,WT,2,Bottom,2022_09_05,Plant_2_2022_09_05
B4,311598,WT,2,Bottom,2022_09_05,Plant_2_2022_09_05
B5,477752,WT,3,Top,2022_09_05,Plant_3_2022_09_05
B6,490899,WT,3,Top,2022_09_05,Plant_3_2022_09_05
B7,364688,WT,3,Top,2022_09_05,Plant_3_2022_09_05
B8,333995,WT,3,Top,2022_09_05,Plant_3_2022_09_05
B9,291140,WT,3,Bottom,2022_09_05,Plant_3_2022_09_05
B10,257067,WT,3,Bottom,2022_09_05,Plant_3_2022_09_05
B11,298535,WT,3,Bottom,2022_09_05,Plant_3_2022_09_05
B12,349102,WT,3,Bottom,2022_09_05,Plant_3_2022_09_05
C1,345898,WT,4,Top,2022_09_05,Plant_4_2022_09_05
C2,448795,WT,4,Top,2022_09_05,Plant_4_2022_09_05
C3,328313,WT,4,Top,2022_09_05,Plant_4_2022_09_05
C4,394519,WT,4,Top,2022_09_05,Plant_4_2022_09_05
C5,460857,WT,4,Bottom,2022_09_05,Plant_4_2022_09_05
C6,251792,WT,4,Bottom,2022_09_05,Plant_4_2022_09_05
C7,230549,WT,4,Bottom,2022_09_05,Plant_4_2022_09_05
C8,329776,WT,4,Bottom,2022_09_05,Plant_4_2022_09_05
C9,327251,WT,5,Top,2022_09_05,Plant_5_2022_09_05
C10,268113,WT,5,Top,2022_09_05,Plant_5_2022_09_05
C11,342735,WT,5,Top,2022_09_05,Plant_5_2022_09_05
C12,422058,WT,5,Top,2022_09_05,Plant_5_2022_09_05
D1,236018,WT,5,Bottom,2022_09_05,Plant_5_2022_09_05
D2,252507,WT,5,Bottom,2022_09_05,Plant_5_2022_09_05
D3,355975,WT,5,Bottom,2022_09_05,Plant_5_2022_09_05
D4,337160,WT,5,Bottom,2022_09_05,Plant_5_2022_09_05
D5,534721,WT,6,Top,2022_09_05,Plant_6_2022_09_05
D6,415221,WT,6,Top,2022_09_05,Plant_6_2022_09_05
D7,455762,WT,6,Top,2022_09_05,Plant_6_2022_09_05
D8,424448,WT,6,Top,2022_09_05,Plant_6_2022_09_05
D9,467106,WT,6,Bottom,2022_09_05,Plant_6_2022_09_05
D10,345549,WT,6,Bottom,2022_09_05,Plant_6_2022_09_05
D11,409120,WT,6,Bottom,2022_09_05,Plant_6_2022_09_05
D12,414870,WT,6,Bottom,2022_09_05,Plant_6_2022_09_05
E1,544694,WT,7,Top,2022_09_05,Plant_7_2022_09_05
E2,354355,WT,7,Top,2022_09_05,Plant_7_2022_09_05
E3,450530,WT,7,Top,2022_09_05,Plant_7_2022_09_05
E4,517285,WT,7,Top,2022_09_05,Plant_7_2022_09_05
E5,411521,WT,7,Bottom,2022_09_05,Plant_7_2022_09_05
E6,293201,WT,7,Bottom,2022_09_05,Plant_7_2022_09_05
E7,323270,WT,7,Bottom,2022_09_05,Plant_7_2022_09_05
E8,283777,WT,7,Bottom,2022_09_05,Plant_7_2022_09_05
E9,218558,WT,8,Top,2022_09_05,Plant_8_2022_09_05
E10,234541,WT,8,Top,2022_09_05,Plant_8_2022_09_05
E11,317368,WT,8,Top,2022_09_05,Plant_8_2022_09_05
E12,326938,WT,8,Top,2022_09_05,Plant_8_2022_09_05
F1,350991,WT,8,Bottom,2022_09_05,Plant_8_2022_09_05
