Week,mg_g,plant,log10
One,68,1,1.831883184
One,68,2,1.832499569
One,73,3,1.862287818
One,66,4,1.817852755
One,62,5,1.794283959
One,60,6,1.78058971
Two,104,1,2.01866091
Two,72,2,1.856182153
Two,95,3,1.977637722
Two,79,4,1.896052262
Two,35,5,1.539430691
Two,81,6,1.90945735
Three,82,1,1.912825818
Three,65,2,1.815750225
Three,68,3,1.832106864
Three,74,4,1.871955184
Three,77,5,1.887563947
Three,88,6,1.943930854
Four,62,1,1.79458193
Four,46,2,1.663561014
Four,61,3,1.785494576
Four,68,4,1.835167126
Four,73,5,1.8644019
Four,68,6,1.831157682