Well,538,Experimental_replicate,Plant,Leaf,Condition,Dry_weight_mg,abs_per_mg
A2,0.399,1,1,T4,T2A,16,0.0249375
A1,0.56,1,1,T4,co-infiltration,12.07,0.046396023
A4,0.353,1,1,T5,T2A,8.05,0.043850932
A3,0.701,1,1,T5,co-infiltration,9.04,0.077544248
A6,0.435,1,2,T4,T2A,10.52,0.04134981
A5,0.907,1,2,T4,co-infiltration,12.07,0.075144988
A8,0.861,1,2,T5,T2A,6.85,0.125693431
A7,1.013,1,2,T5,co-infiltration,7.45,0.135973154
A10,0.576,1,3,T4,T2A,12.89,0.044685803
A9,0.745,1,3,T4,co-infiltration,16.02,0.04650437
A12,0.704,1,3,T5,T2A,6.74,0.104451039
A11,0.801,1,3,T5,co-infiltration,8.33,0.096158463
B2,0.376,1,4,T4,T2A,13.38,0.028101644
B1,1.776,1,4,T4,co-infiltration,4.29,0.413986014
B4,0.588,1,4,T5,T2A,7.19,0.08178025
B3,1.037,1,4,T5,co-infiltration,7.44,0.13938172
B6,0.273,1,5,T4,T2A,21.6,0.012638889
B5,0.486,1,5,T4,co-infiltration,12.39,0.039225182
B8,0.418,1,5,T5,T2A,15.79,0.026472451
B7,0.612,1,5,T5,co-infiltration,12.74,0.048037677
B10,0.538,1,6,T4,T2A,10.68,0.050374532
B9,0.767,1,6,T4,co-infiltration,8.5,0.090235294
B12,0.482,1,6,T5,T2A,10.63,0.045343368
B11,0.989,1,6,T5,co-infiltration,9.64,0.102593361
C2,0.827,2,7,T4,T2A,4.03,0.205210918
C1,1.109,2,7,T4,co-infiltration,5.51,0.201270417
C4,1.163,2,7,T5,T2A,4.42,0.263122172
C3,1.183,2,7,T5,co-infiltration,4.01,0.295012469
C6,0.783,2,8,T4,T2A,5.14,0.15233463
C5,0.904,2,8,T4,co-infiltration,5.01,0.180439122
C8,0.712,2,8,T5,T2A,6.23,0.114285714
C7,0.957,2,8,T5,co-infiltration,5.88,0.162755102
C10,1.003,2,9,T4,T2A,5.7,0.175964912
C9,1.199,2,9,T4,co-infiltration,5.08,0.236023622
C12,0.703,2,9,T5,T2A,5.14,0.136770428
C11,1.118,2,9,T5,co-infiltration,5.07,0.220512821
D2,0.984,2,10,T4,T2A,4.27,0.230444965
D1,1.582,2,10,T4,co-infiltration,5.81,0.272289157
D4,0.826,2,10,T5,T2A,4.76,0.173529412
D3,1.246,2,10,T5,co-infiltration,4.71,0.264543524
D6,0.809,2,11,T4,T2A,4.79,0.168893528
D5,1.49,2,11,T4,co-infiltration,4.14,0.359903382
D8,0.83,2,11,T5,T2A,4.78,0.173640167
D7,1.158,2,11,T5,co-infiltration,5.3,0.218490566
D10,0.974,2,12,T4,T2A,4.17,0.233573141
D9,1.208,2,12,T4,co-infiltration,4.57,0.264332604
D12,0.917,2,12,T5,T2A,2.69,0.340892193
D11,1.239,2,12,T5,co-infiltration,3.55,0.349014085
E1,0.61,3,13,T4,T2A,8.71,0.070034443
E2,0.738,3,13,T4,co-infiltration,10.87,0.067893284
E3,0.421,3,13,T5,T2A,9.34,0.045074946
E4,0.54,3,13,T5,co-infiltration,6.5,0.083076923
E5,0.499,3,14,T4,T2A,9.02,0.055321508
E6,0.62,3,14,T4,co-infiltration,8.24,0.075242718
E7,0.752,3,14,T5,T2A,7.63,0.098558322
E8,0.675,3,14,T5,co-infiltration,7.09,0.095204513
E9,0.789,3,15,T4,T2A,8.23,0.095868773
E10,1.123,3,15,T4,co-infiltration,6.39,0.175743349
E11,0.715,3,15,T5,T2A,8.23,0.086877278
E12,1.22,3,15,T5,co-infiltration,8.2,0.148780488
F1,1.02,3,16,T4,T2A,8.48,0.120283019
F2,1.347,3,16,T4,co-infiltration,7.24,0.186049724
F3,1.18,3,16,T5,T2A,6.68,0.176646707
F4,1.573,3,16,T5,co-infiltration,5.84,0.269349315
F5,0.864,3,17,T4,T2A,8.96,0.096428571
F6,0.966,3,17,T4,co-infiltration,6.54,0.147706422
F7,0.738,3,17,T5,T2A,7.73,0.095472186
F8,0.977,3,17,T5,co-infiltration,8.19,0.119291819
F9,0.566,3,18,T4,T2A,5.31,0.106591337
F10,0.757,3,18,T4,co-infiltration,7.45,0.101610738
F11,0.388,3,18,T5,T2A,11.7,0.033162393
F12,0.586,3,18,T5,co-infiltration,8.89,0.06591676